pessoas,maquinas,vazao_total,vazao_1,sensor_p1,vazao_2,sensor_p2,vazao_3,sensor_p3,vazamento,t_seg,hora,inicio_exp,fim_exp,meio_exp
0,1,0.08,0.03,0,0.03,0,0.03,0,0,0,00:00:00,08:00:00,22:00:00,15:00:00
0,4,0.36,0.11,0,0.13,0,0.13,0,0,30,00:00:30,,,
0,2,0.18,0.06,0,0.06,0,0.06,0,0,60,00:01:00,,,
0,2,0.16,0.05,0,0.06,0,0.05,0,0,90,00:01:30,,,
0,3,0.28,0.08,0,0.09,0,0.11,0,0,120,00:02:00,,,
0,5,0.49,0.18,0,0.14,0,0.17,0,0,150,00:02:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,180,00:03:00,,,
0,5,0.46,0.20,0,0.13,0,0.14,0,0,210,00:03:30,,,
0,2,0.16,0.05,0,0.06,0,0.05,0,0,240,00:04:00,,,
0,1,0.10,0.04,0,0.03,0,0.03,0,0,270,00:04:30,,,
0,3,0.25,0.09,0,0.08,0,0.08,0,0,300,00:05:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,330,00:05:30,,,
0,3,0.31,0.09,0,0.12,0,0.09,0,0,360,00:06:00,,,
0,3,0.31,0.08,0,0.11,0,0.12,0,0,390,00:06:30,,,
0,5,0.44,0.13,0,0.15,0,0.16,0,0,420,00:07:00,,,
0,3,0.27,0.12,0,0.08,0,0.08,0,0,450,00:07:30,,,
0,2,0.19,0.05,0,0.07,0,0.07,0,0,480,00:08:00,,,
0,3,0.32,0.09,0,0.11,0,0.12,0,0,510,00:08:30,,,
0,2,0.20,0.06,0,0.07,0,0.06,0,0,540,00:09:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,570,00:09:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,600,00:10:00,,,
0,5,0.47,0.14,0,0.13,0,0.20,0,0,630,00:10:30,,,
0,2,0.17,0.05,0,0.06,0,0.06,0,0,660,00:11:00,,,
0,2,0.19,0.06,0,0.06,0,0.06,0,0,690,00:11:30,,,
0,5,0.44,0.14,0,0.13,0,0.17,0,0,720,00:12:00,,,
0,4,0.36,0.11,0,0.13,0,0.12,0,0,750,00:12:30,,,
0,5,0.54,0.15,0,0.19,0,0.20,0,0,780,00:13:00,,,
0,3,0.27,0.12,0,0.08,0,0.08,0,0,810,00:13:30,,,
0,4,0.45,0.16,0,0.14,0,0.15,0,0,840,00:14:00,,,
0,2,0.17,0.05,0,0.05,0,0.07,0,0,870,00:14:30,,,
0,1,0.10,0.04,0,0.04,0,0.03,0,0,900,00:15:00,,,
0,2,0.22,0.08,0,0.07,0,0.06,0,0,930,00:15:30,,,
0,4,0.31,0.11,0,0.10,0,0.10,0,0,960,00:16:00,,,
0,3,0.26,0.09,0,0.09,0,0.08,0,0,990,00:16:30,,,
0,5,0.42,0.16,0,0.14,0,0.13,0,0,1020,00:17:00,,,
0,3,0.29,0.10,0,0.09,0,0.09,0,0,1050,00:17:30,,,
0,3,0.28,0.09,0,0.09,0,0.09,0,0,1080,00:18:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,1110,00:18:30,,,
0,5,0.47,0.17,0,0.13,0,0.18,0,0,1140,00:19:00,,,
0,2,0.18,0.06,0,0.06,0,0.06,0,0,1170,00:19:30,,,
0,3,0.31,0.11,0,0.10,0,0.11,0,0,1200,00:20:00,,,
0,1,0.09,0.03,0,0.03,0,0.03,0,0,1230,00:20:30,,,
0,2,0.19,0.06,0,0.08,0,0.05,0,0,1260,00:21:00,,,
0,1,0.09,0.03,0,0.04,0,0.03,0,0,1290,00:21:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,1320,00:22:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,1350,00:22:30,,,
0,5,0.51,0.15,0,0.16,0,0.20,0,0,1380,00:23:00,,,
0,1,0.08,0.03,0,0.03,0,0.03,0,0,1410,00:23:30,,,
0,4,0.39,0.14,0,0.13,0,0.11,0,0,1440,00:24:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,1470,00:24:30,,,
0,2,0.18,0.07,0,0.06,0,0.05,0,0,1500,00:25:00,,,
0,1,0.09,0.03,0,0.03,0,0.03,0,0,1530,00:25:30,,,
0,5,0.52,0.14,0,0.20,0,0.19,0,0,1560,00:26:00,,,
0,5,0.43,0.13,0,0.17,0,0.13,0,0,1590,00:26:30,,,
0,2,0.20,0.07,0,0.08,0,0.05,0,0,1620,00:27:00,,,
0,2,0.18,0.06,0,0.06,0,0.05,0,0,1650,00:27:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,1680,00:28:00,,,
0,5,0.41,0.13,0,0.16,0,0.13,0,0,1710,00:28:30,,,
0,4,0.40,0.15,0,0.11,0,0.14,0,0,1740,00:29:00,,,
0,4,0.34,0.12,0,0.11,0,0.11,0,0,1770,00:29:30,,,
0,2,0.19,0.05,0,0.07,0,0.07,0,0,1800,00:30:00,,,
0,2,0.16,0.05,0,0.06,0,0.05,0,0,1830,00:30:30,,,
0,2,0.16,0.05,0,0.05,0,0.05,0,0,1860,00:31:00,,,
0,1,0.11,0.03,0,0.04,0,0.04,0,0,1890,00:31:30,,,
0,3,0.25,0.08,0,0.08,0,0.09,0,0,1920,00:32:00,,,
0,1,0.09,0.03,0,0.03,0,0.03,0,0,1950,00:32:30,,,
0,4,0.34,0.10,0,0.13,0,0.11,0,0,1980,00:33:00,,,
0,3,0.23,0.08,0,0.08,0,0.08,0,0,2010,00:33:30,,,
0,1,0.12,0.04,0,0.04,0,0.04,0,0,2040,00:34:00,,,
0,5,0.53,0.15,0,0.20,0,0.19,0,0,2070,00:34:30,,,
0,4,0.41,0.12,0,0.14,0,0.15,0,0,2100,00:35:00,,,
0,3,0.30,0.08,0,0.11,0,0.10,0,0,2130,00:35:30,,,
0,2,0.18,0.07,0,0.06,0,0.05,0,0,2160,00:36:00,,,
0,4,0.38,0.10,0,0.16,0,0.12,0,0,2190,00:36:30,,,
0,2,0.20,0.07,0,0.06,0,0.07,0,0,2220,00:37:00,,,
