N pessoas,N máquinas usando agua,Vazão Total,Vazão 1,Vazão 2,Vazão 3,Vazamento,Normal,,,Tempo de simulação em segundos,Horário,,,Inicio expedianete,Fim expediente,Meio expediete
0,3,0.31,0.12,0.08,0.12,0,1,,,0,00:00:00,,,08:00:00,22:00:00,15:00:00
0,0,0.00,0.00,0.00,0.00,0,1,,,30,00:00:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,60,00:01:00,,,,,
0,4,0.43,0.14,0.15,0.14,0,1,,,90,00:01:30,,,,,
0,3,0.28,0.10,0.09,0.09,0,1,,,120,00:02:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,150,00:02:30,,,,,
0,3,0.26,0.09,0.09,0.09,0,1,,,180,00:03:00,,,,,
0,5,0.47,0.14,0.15,0.19,0,1,,,210,00:03:30,,,,,
0,1,0.11,0.04,0.03,0.04,0,1,,,240,00:04:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,270,00:04:30,,,,,
0,1,0.10,0.03,0.03,0.04,0,1,,,300,00:05:00,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,330,00:05:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,360,00:06:00,,,,,
0,3,0.29,0.09,0.09,0.10,0,1,,,390,00:06:30,,,,,
0,4,0.39,0.14,0.12,0.13,0,1,,,420,00:07:00,,,,,
0,3,0.29,0.10,0.09,0.10,0,1,,,450,00:07:30,,,,,
0,4,0.38,0.15,0.13,0.10,0,1,,,480,00:08:00,,,,,
0,2,0.18,0.05,0.07,0.05,0,1,,,510,00:08:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,540,00:09:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,570,00:09:30,,,,,
0,2,0.17,0.05,0.06,0.06,0,1,,,600,00:10:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,630,00:10:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,660,00:11:00,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,690,00:11:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,720,00:12:00,,,,,
0,3,0.26,0.08,0.08,0.10,0,1,,,750,00:12:30,,,,,
0,2,0.19,0.06,0.06,0.07,0,1,,,780,00:13:00,,,,,
0,3,0.26,0.10,0.08,0.08,0,1,,,810,00:13:30,,,,,
0,3,0.27,0.11,0.09,0.08,0,1,,,840,00:14:00,,,,,
0,4,0.40,0.16,0.11,0.12,0,1,,,870,00:14:30,,,,,
0,2,0.18,0.05,0.06,0.07,0,1,,,900,00:15:00,,,,,
0,1,0.10,0.04,0.03,0.03,0,1,,,930,00:15:30,,,,,
0,3,0.26,0.10,0.08,0.08,0,1,,,960,00:16:00,,,,,
0,4,0.34,0.11,0.13,0.10,0,1,,,990,00:16:30,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,1020,00:17:00,,,,,
0,1,0.10,0.03,0.04,0.03,0,1,,,1050,00:17:30,,,,,
0,3,0.27,0.08,0.11,0.08,0,1,,,1080,00:18:00,,,,,
0,5,0.43,0.13,0.15,0.16,0,1,,,1110,00:18:30,,,,,
0,2,0.16,0.05,0.06,0.06,0,1,,,1140,00:19:00,,,,,
0,5,0.52,0.16,0.20,0.16,0,1,,,1170,00:19:30,,,,,
0,3,0.28,0.10,0.08,0.10,0,1,,,1200,00:20:00,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,1230,00:20:30,,,,,
0,5,0.41,0.14,0.14,0.14,0,1,,,1260,00:21:00,,,,,
0,2,0.16,0.05,0.06,0.05,0,1,,,1290,00:21:30,,,,,
0,3,0.28,0.08,0.11,0.10,0,1,,,1320,00:22:00,,,,,
0,5,0.49,0.15,0.14,0.20,0,1,,,1350,00:22:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,1380,00:23:00,,,,,
0,4,0.39,0.15,0.11,0.14,0,1,,,1410,00:23:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,1440,00:24:00,,,,,
0,5,0.50,0.19,0.13,0.19,0,1,,,1470,00:24:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,1500,00:25:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,1530,00:25:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,1560,00:26:00,,,,,
0,1,0.11,0.04,0.04,0.03,0,1,,,1590,00:26:30,,,,,
0,1,0.10,0.03,0.03,0.03,0,1,,,1620,00:27:00,,,,,
0,3,0.24,0.08,0.08,0.08,0,1,,,1650,00:27:30,,,,,
0,2,0.16,0.06,0.05,0.05,0,1,,,1680,00:28:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,1710,00:28:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,1740,00:29:00,,,,,
0,2,0.22,0.06,0.08,0.08,0,1,,,1770,00:29:30,,,,,
0,5,0.50,0.14,0.19,0.18,0,1,,,1800,00:30:00,,,,,
0,4,0.35,0.10,0.14,0.11,0,1,,,1830,00:30:30,,,,,
0,2,1.21,0.06,0.07,0.08,1,0,,,1860,00:31:00,,,,,
0,2,0.19,0.07,0.06,0.07,0,1,,,1890,00:31:30,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,1920,00:32:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,1950,00:32:30,,,,,
0,2,0.21,0.08,0.06,0.07,0,1,,,1980,00:33:00,,,,,
0,3,0.31,0.12,0.09,0.11,0,1,,,2010,00:33:30,,,,,
0,3,0.31,0.12,0.08,0.11,0,1,,,2040,00:34:00,,,,,
0,5,0.45,0.15,0.16,0.14,0,1,,,2070,00:34:30,,,,,
0,5,0.48,0.19,0.15,0.13,0,1,,,2100,00:35:00,,,,,
0,5,0.46,0.16,0.15,0.16,0,1,,,2130,00:35:30,,,,,
0,5,0.42,0.17,0.13,0.13,0,1,,,2160,00:36:00,,,,,
0,4,0.35,0.10,0.14,0.11,0,1,,,2190,00:36:30,,,,,
0,2,0.20,0.07,0.07,0.07,0,1,,,2220,00:37:00,,,,,
0,1,0.09,0.03,0.04,0.03,0,1,,,2250,00:37:30,,,,,
0,4,0.35,0.11,0.14,0.10,0,1,,,2280,00:38:00,,,,,
0,2,0.21,0.07,0.07,0.07,0,1,,,2310,00:38:30,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,2340,00:39:00,,,,,
0,3,0.27,0.11,0.08,0.08,0,1,,,2370,00:39:30,,,,,
0,2,0.18,0.07,0.05,0.06,0,1,,,2400,00:40:00,,,,,
